tejId,date,currencyType,nav,price,premiumPrice,premiumpPercentageChange,dayNavPercentageChange,weekNavPercentageChange,monthNavPercentageChange,3monthsNavPercentageChange,6monthsNavPercentageChange,9monthsNavPercentageChange,yearNavPercentageChange,2yearsNavPercentageChange,3yearsNavPercentageChange,4yearsNavPercentageChange,5yearsNavPercentageChange,6yearsNavPercentageChange,thisYearNavPercentageChange,fromStartNavPercentageChange,lastHalfYearEndNavPercentageChange,lastMonthEndNavPercentageChange,lastQuarterEndNavPercentageChange,lastWeekEndNavPercentageChange,last2YearEndNavPercentageChange,last3YearEndNavPercentageChange,last4YearEndNavPercentageChange,last5YearEndNavPercentageChange,fundTongYiNumber,tejCategoryCode
0050 元大台灣50,2016-08-31 00:00:00,NTD,69.67,69.4,-0.27,-0.387541,-0.514065,0.562933,1.722879,11.344373,14.675652,15.049797,14.271815,7.966872,35.348224,49.543372,48.868574,59.404599,15.20014,188.859297,7.508424,1.722879,7.508424,-0.910255,8.218119,26.545159,41.214389,58.73587,98764389,1151
0051 元大中型100,2016-08-31 00:00:00,NTD,26.78,26.5,-0.28,-1.045556,-0.223547,1.324253,1.439394,10.251132,7.853403,9.440131,14.479994,-10.846801,1.716645,15.857994,10.391216,14.067152,8.861789,32.665773,7.7666,1.439394,7.7666,0,-7.752461,-4.300693,13.268183,27.733316,48772770,1151
0052 富邦台灣科技指數,2016-08-31 00:00:00,NTD,43.01,42.74,-0.27,-0.627761,0.349977,1.223817,1.462609,14.785161,16.799786,23.981649,30.714801,14.501608,46.97796,65.641827,70.992364,69.18205,20.789269,78.728703,7.740481,1.462609,7.740481,-0.554913,9.042691,40.092968,52.555362,76.073626,48790067,1151
0053 元大電子,2016-08-31 00:00:00,NTD,30.49,30.3,-0.19,-0.623155,-0.196399,0.82672,1.735068,12.633912,14.451952,17.812983,23.454267,7.241215,39.803568,51.764831,57.207268,51.876787,17.134076,25.045221,7.624426,1.735068,7.624426,-0.684039,7.943238,32.814469,45.810763,66.428114,48903196,1151
0054 元大台商50,2016-08-31 00:00:00,NTD,22.09,21.95,-0.14,-0.633771,-0.897263,0.135993,0.775547,8.764156,8.657157,7.703559,7.209645,-6.074505,17.698422,25.051447,29.463476,30.748266,8.817734,10.055224,6.973366,0.775547,6.973366,-1.119069,1.174357,8.593202,24.665,38.028478,48903180,1151
0055 元大MSCI金融,2016-08-31 00:00:00,NTD,13.95,13.93,-0.02,-0.143369,-0.993612,2.048281,3.640416,9.326019,13.414634,2.422907,-1.885224,-5.013518,15.026336,40.264452,21.491782,36.347381,5.922551,10.077785,8.899297,3.640416,8.899297,0.215517,-1.885223,3.931103,33.087497,45.790821,48903175,1151
0056 元大高股息,2016-08-31 00:00:00,NTD,24.81,24.65,-0.16,-0.644901,-0.321414,1.100244,1.389456,12.568058,9.63323,17.471591,24.372247,1.971896,17.919029,20.067409,26.832649,35.986611,13.703025,42.484562,8.959157,1.389456,8.959157,-0.160966,6.948845,17.086991,22.871007,34.397334,48966213,1151
0057 富邦台灣摩根指數,2016-08-31 00:00:00,NTD,41.3,41.45,0.15,0.363196,-0.457942,0.58451,1.278886,11.009192,13.440905,13.590801,13.142298,4.074477,28.768002,42.515779,41.065832,48.318699,13.861613,43.275863,7.108794,1.278886,7.108794,-0.864138,4.352417,20.941924,35.250973,51.828904,48975156,1151
0058 富邦台灣發達指數,2016-08-31 00:00:00,NTD,39.32,39.09,-0.23,-0.584944,-1.007049,-0.253678,1.131687,8.558807,10.418422,10.109213,7.37302,-1.25565,17.865707,25.623003,24.817866,36.84703,11.262026,49.731036,6.876869,1.131687,6.876869,-1.25565,4.021161,10.356437,22.568578,35.914581,48977083,1151
0059 富邦台灣金融指數,2016-08-31 00:00:00,NTD,32.61,32.5,-0.11,-0.33732,-0.941677,2.129659,3.919694,9.063545,12.720359,1.683817,-2.888624,-4.704851,14.783527,39.537869,18.543762,33.774617,5.125725,15.224537,8.881469,3.919694,8.881469,0.307598,-1.331318,3.655446,32.345787,42.958489,48975162,1151
